Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A7467,587730772815381337,0.81082804,13.90065468,2566,40,1,314,GALAXY,22.986401,22.4895,21.450115,0.05,0.05,-0.160278,-0.166679,-0.143772,1.237126,0.630851,3.920693,2.022932,8.505685E-3
A7468,587727226227327139,0.81165567,-10.09141287,1740,40,3,27,GALAXY,20.397511,19.121235,18.563955,0.362936,0.392828,-2.372362,-0.487116,-154.232834,3.191711,1.271248,7.910808,2.287435,0.029132
A7470,587727225153586000,0.8046743,-10.93204794,1740,40,1,27,GALAXY,23.456793,22.199106,21.436167,0.05,0.05,-0.062351,-0.088376,-0.128648,1.144202,0.586768,6.644614,2.071053,-0.055369
A7471,587727177912943298,0.81236426,-11.06812859,1729,40,1,88,GALAXY,24.323021,22.889811,21.106361,0.276507,0.071239,-0.051793,-0.076303,-0.181245,2.49262,0.922692,6.360953,2.215607,-0.04781
A7473,587727222487647236,0.8106609,15.27475689,1739,40,4,308,GALAXY,24.29846,23.275768,21.779425,0.05,0.054736,-0.015705,-8.059454E-3,-6.264399E-3,1.526388,0.582793,1.72266,2.132194,3.56671E-3
A7477,587731187814891581,0.80926135,1.24698853,2662,40,6,288,GALAXY,22.56502,21.096523,18.932152,0.209265,0.47846,-1.065953,-0.387959,-2.425725,4.660255,2.010955,29.681087,2.049196,-0.03857
A7478,587727177912942963,0.80697371,-11.10285495,1729,40,1,88,GALAXY,21.41419,19.74835,19.017872,0.876297,0.821941,-12.362095,-2.698632,-61.027462,6.532813,2.175995,9.097623,2.294033,-0.016079
A7480,587727227301068932,0.81275206,-9.31039389,1740,40,5,27,GALAXY,25.070675,24.6759,24.249651,0.05,0.089966,0,-1.110223E-16,0,2.596078,2.428706,35.006828,0,-3.706829E-3
A7481,587727180597297504,0.80863593,-8.96457331,1729,40,6,88,GALAXY,22.514786,21.834694,21.487774,0.10635,0.070444,-0.050769,-0.052243,-0.021405,3.326112,0.82384,4.824251,1.923331,5.470721E-3
A7482,587727226227327838,0.81033355,-10.11109154,1740,40,3,27,GALAXY,24.659887,21.528753,20.464691,0.588901,0.800226,-0.142852,-0.247561,-1.475859,3.667772,2.111522,36.264076,1.963609,0.057794
A7483,587727222487647236,0.8106609,15.27475689,1739,40,4,308,GALAXY,24.29846,23.275768,21.779425,0.05,0.054736,-0.015705,-8.059454E-3,-6.264399E-3,1.526388,0.582793,1.72266,2.132194,3.56671E-3
A7484,587727220876968577,0.81199162,13.92512977,1739,40,1,307,GALAXY,23.18425,22.552059,21.526218,0.189519,0.294702,-2.78277E-8,-4.828241E-7,-1.585961E-4,1.561473,0.848688,8.831803,2.003251,0.054706
A7486,587727177912942966,0.81025588,-11.09981495,1729,40,1,88,GALAXY,21.871132,20.982841,20.910912,0.099784,0.101548,-0.087422,-0.122391,-0.184095,1.209469,0.730107,5.871923,2.029649,-0.056246
A7488,587727226764198467,0.81678649,-9.69001736,1740,40,4,27,GALAXY,21.949631,21.27335,21.040831,0.0999,0.112457,-9.2413E-3,-0.014085,-0.750982,2.377609,1.038662,9.090951,2.194362,-0.029921
A7490,587727177912942797,0.81274319,-11.04303891,1729,40,1,88,GALAXY,26.156656,20.18471,19.464149,0.260872,0.091953,-0.231279,-0.391733,-0.35129,64.323044,44.812698,8.988408,-0.121472,0.855959
A7491,587727179523555762,0.81174401,-9.96754022,1729,40,4,88,GALAXY,23.124756,21.782928,21.490589,0.05,0.05,-0.018864,-0.016604,-0.032162,1.067931,0.759542,4.735976,1.981395,-0.047534
A7492,587727227301069298,0.81255994,-9.20227858,1740,40,5,27,GALAXY,22.231895,21.223545,20.299397,0.61464,0.71697,-0.052826,-0.040817,-1.98719,2.414993,1.189164,9.013751,2.303963,-0.038498
A7493,587727223024518145,0.81467705,15.71107751,1739,40,5,308,GALAXY,23.369175,22.532616,22.30242,0.106369,0.0978,-0.161888,-0.174184,-0.244635,2.54423,1.866031,22.076935,0,-0.026016
A7494,587727226227327139,0.81165567,-10.09141287,1740,40,3,27,GALAXY,20.397511,19.121235,18.563955,0.362936,0.392828,-2.372362,-0.487116,-154.232834,3.191711,1.271248,7.910808,2.287435,0.029132
A7496,587731185667408196,0.81508747,-0.56872367,2662,40,2,288,GALAXY,21.174915,20.428324,20.023796,0.399539,0.44662,-8.384901,-14.65187,-53.09959,2.382845,1.453771,20.069921,2.033052,-0.086935
A7497,587727226764198468,0.81890743,-9.73993516,1740,40,4,27,GALAXY,22.38587,22.351265,22.576088,0.19114,0.121458,-0.512924,-0.512943,-0.294237,-9999,-9999,0.266754,1.228417,9.719213E-3
A7498,588015510343451381,0.80983671,0.8513731,3325,41,6,113,GALAXY,22.618195,22.048443,21.242807,0.212181,0.32548,-0.119345,-0.098031,-0.347517,2.510302,1.303365,12.199712,2.292126,-0.045795
A7499,588015510343451510,0.81370103,0.87737672,3325,41,6,113,GALAXY,25.973871,24.534515,21.405922,0.05,0.199775,-0.186932,-0.183332,-0.19291,1.190905,0.691839,8.085925,2.08355,-0.061984
A7500,587727178986684620,0.80684294,-10.32396449,1729,40,3,88,GALAXY,20.87639,19.222954,18.63438,0.702533,0.77634,-6.266359,-0.035425,-114.282051,3.740885,1.326722,7.186388,2.249751,-4.710799E-3
A7503,587731185667408195,0.81481872,-0.4532891,2662,40,2,288,GALAXY,22.344944,21.95606,21.620771,0.172335,0.298237,-0.238917,-0.235691,-0.285617,1.732805,0.773846,5.829464,2.102107,-0.075915
A7504,587727177912942976,0.81864266,-11.08777951,1729,40,1,88,GALAXY,20.964022,20.355421,20.103441,0.338234,0.581916,-0.418569,-0.36814,-2.77424,1.800463,1.019717,8.34706,2.247838,-0.044449
A7505,587730774962864581,0.81262018,15.3943644,2566,40,5,314,GALAXY,21.954102,20.846968,20.448315,0.54078,0.406313,-0.365872,-0.373228,-1.020635,1.632646,0.83371,4.747267,2.244215,-0.052162
A7506,587731186741150100,0.81174561,0.36978759,2662,40,4,288,GALAXY,21.97168,21.141369,21.108866,0.199921,0.384896,-0.377096,-0.362849,-0.294094,3.012242,0.846575,6.705096,2.166387,3.948212E-3
A7507,587727225153585261,0.81060282,-11.00333134,1740,40,1,27,GALAXY,26.267344,24.856207,20.263636,0.620252,0.799993,-0.041361,-0.097705,-1.921338,2.790548,1.789158,33.693142,1.730812,-0.028427
A7511,587727227301069298,0.81255994,-9.20227858,1740,40,5,27,GALAXY,22.231895,21.223545,20.299397,0.61464,0.71697,-0.052826,-0.040817,-1.98719,2.414993,1.189164,9.013751,2.303963,-0.038498
A7513,588015508195967948,0.81366832,-0.71109391,3325,41,2,113,GALAXY,21.26866,22.562872,23.366495,0.05,0.05,-0.401509,-0.42193,-0.246954,-9999,-9999,-9999,-9999,0.060491
A7516,587727178986684995,0.81300166,-10.39274035,1729,40,3,88,GALAXY,23.216209,21.406176,20.758707,0.287457,0.283241,-1.063178,-0.408722,-2.495801,2.183435,0.989908,5.337013,2.373722,-0.054633
A7520,588015508732838433,0.81791275,-0.32178575,3325,41,3,113,GALAXY,22.40951,21.119257,20.223476,0.762814,0.784043,-0.021266,-0.024298,-0.424398,1.819019,0.710248,3.486622,2.153159,-0.032131
A7521,587727180060426678,0.8160256,-9.49423738,1729,40,5,88,GALAXY,20.942911,20.58897,20.189709,0.68064,0.732063,-0.175638,-0.416903,-8.649192,3.597193,1.405568,11.315513,2.081985,-0.047729
A7523,587727180060427025,0.81703394,-9.52415686,1729,40,5,88,GALAXY,25.006269,23.497736,21.328876,0.05,0.05,-0.143049,-0.14896,-0.223249,1.863504,0.763732,8.685155,1.998415,-0.051492
A7524,588015509806580503,0.81643631,0.52547696,3325,41,5,113,GALAXY,23.13228,22.084776,22.077448,0.05,0.05,-0.096517,-0.108436,-0.071501,0.90146,0.513622,7.177449,2.249461,4.429436E-3
A7526,587727178986684812,0.81776688,-10.22932203,1729,40,3,88,GALAXY,21.303316,20.511612,20.294014,0.627963,0.709462,-2.061489,-2.476852,-6.363982,1.927813,0.874348,6.061439,2.126395,-0.054758
A7527,587730774962864940,0.81647914,15.48402883,2566,40,5,314,GALAXY,22.11853,21.019941,20.349821,0.349975,0.461989,-2.940875,-4.59688,-11.727317,2.377016,1.501075,30.909191,1.750484,-0.067331
A7532,587727227301069303,0.81786495,-9.33278179,1740,40,5,27,GALAXY,21.991238,21.520273,21.238628,0.05,0.347055,-0.417775,-0.42216,-0.345766,0.455861,0.340109,4.417055,1.754115,0.020855
A7535,587730772815381427,0.82028264,13.86211644,2566,40,1,314,GALAXY,23.739143,24.988575,24.86071,0.999797,0.127186,-0.871165,-0.869266,-0.547545,-9999,-9999,-9999,-9999,8.872986E-3
A7537,587727220877034331,0.817608,14.08155295,1739,40,1,308,GALAXY,25.335428,24.899076,21.862986,0.29996,0.650496,-0.166226,-0.161214,-0.098394,0.778554,0.458803,2.878544,1.814653,5.83299E-3
A7539,588015509806580650,0.81877182,0.59634678,3325,41,5,113,GALAXY,23.088142,22.599916,21.490789,0.05,0.05,-6.504064E-3,-9.172921E-3,-0.029487,1.492504,0.788891,7.597523,2.199812,-0.033809
A7540,587730773889122917,0.82303018,14.63987082,2566,40,3,314,GALAXY,22.961987,22.343889,22.073248,0.327843,0.327551,-0.304785,-0.204701,-0.417739,2.147751,1.049902,3.069747,2.174771,-0.062871
A7541,587727221950775996,0.82183436,14.92379134,1739,40,3,308,GALAXY,23.632875,22.838127,21.559933,0.067598,0.135941,-6.539328E-3,-5.712761E-3,-7.230296E-3,0.820749,0.48734,2.078563,2.10858,-0.040981
A7542,588015510343451598,0.81977267,0.96317073,3325,41,6,113,GALAXY,26.25914,25.581017,23.656557,0.099643,0.129567,-0.021799,-0.022289,-7.160374E-3,0.425979,0.321756,33.067234,0.859308,0.109907
A7543,587727178449814029,0.82193768,-10.76132287,1729,40,2,88,GALAXY,21.863859,20.712095,20.912058,0.453243,0.097462,-1.603791,-1.71685,-2.40272,0.738771,0.540476,13.522813,0.830467,-0.010522
A7544,588015507659096621,0.81812626,-1.19670615,3325,41,1,113,GALAXY,22.284201,20.849823,20.422739,0.05,0.259601,-0.09443,-0.071339,-0.123405,1.80368,0.790352,4.454247,2.074903,-0.044436
A7545,587727222487647010,0.81863641,15.29443156,1739,40,4,308,GALAXY,22.947165,21.841877,21.504591,0.05,0.066575,-0.339361,-0.176762,-0.296058,1.470479,0.63999,2.474942,2.075735,-0.066282
A7547,588015509806580216,0.81754852,0.53121124,3325,41,5,113,GALAXY,21.950401,20.619978,19.72842,0.291797,0.365132,-0.122566,-0.146693,-28.994333,2.47751,1.28861,14.297084,2.281914,-0.02916
A7548,587727221950775983,0.81776458,14.76314024,1739,40,3,308,GALAXY,23.637327,22.699308,21.887096,0.05,0.110375,-1.427464,-1.285244,-1.030512,1.312687,0.540832,0.637523,1.627254,0.015813
A7550,587727225153650942,0.82194581,-10.88455137,1740,40,1,28,GALAXY,21.22761,20.851284,20.682518,0.22151,0.500344,-0.087118,-0.126974,-1.010966,1.287624,0.934911,9.876909,2.206985,-0.033433
A7551,587730775499735808,0.81989076,15.81055539,2566,40,6,314,GALAXY,23.017403,21.764088,21.25897,0.05,0.05,-0.200039,-0.221955,-0.281704,0.35557,0.214986,5.050804,2.326716,-0.062098
A7552,588015510343451137,0.82119929,1.01447739,3325,41,6,113,GALAXY,22.268728,21.518604,21.262619,0.741716,0.796627,-0.88739,-0.946746,-0.738087,0.30371,0.236442,5.911781,1.820534,0.015963
A7555,587731187278020738,0.82588592,0.81230847,2662,40,5,288,GALAXY,18.263474,17.463524,17.038277,0.561267,0.601758,-50.118622,-75.138596,-3218.4873,6.227155,2.534822,34.117176,2.358127,1.271145
A7556,587727221950775696,0.82419798,14.88242681,1739,40,3,308,GALAXY,22.602644,21.98064,21.876904,0.05,0.05,-0.604196,-0.633934,-0.76279,0.992772,0.562332,3.255189,2.062176,-0.088799
A7557,587731187278021083,0.82312207,0.67618133,2662,40,5,288,GALAXY,21.956766,21.584024,21.36352,0.676702,0.647561,-2.926814E-3,-5.06661E-3,-0.033443,4.089669,1.452794,12.988729,1.937315,-0.027942
A7559,587730774425994234,0.81542959,15.07435522,2566,40,4,314,GALAXY,25.302643,24.128834,25.070141,0.998411,0.999759,-0.030511,-0.029737,-0.025363,-9999,-9999,-9999,-9999,4.545593E-3
A7560,587731187814892374,0.81913559,1.20916198,2662,40,6,288,GALAXY,25.545277,26.153337,24.790159,0.05,0.05,-0.062854,-0.063587,-0.027657,-9999,-9999,-9999,-9999,4.860772E-3
A7562,587727227301069587,0.8254923,-9.29884941,1740,40,5,27,GALAXY,22.647963,20.649664,20.126791,0.920444,0.931869,-0.124583,-0.187681,-2.576484,2.795879,0.943504,6.193543,2.136029,-0.057664
A7563,588015508195967489,0.8291333,-0.74839272,3325,41,2,113,GALAXY,19.975327,18.852325,18.416761,0.673578,0.711023,-23.355333,-69.990211,-557.147278,3.185939,1.731815,25.452053,2.144233,0.202517
A7564,587727220877034104,0.82271119,13.93375063,1739,40,1,308,GALAXY,23.911703,22.462667,21.510719,0.227993,0.500133,-0.253265,-0.152665,-0.202856,2.073243,0.875534,2.923365,2.262552,-0.063962
A7565,587727226764198882,0.82430708,-9.57930735,1740,40,4,27,GALAXY,23.175669,22.111143,21.495653,0.299988,0.405578,-2.49951E-4,-5.973233E-4,-0.014319,1.301937,0.902885,6.876207,1.202209,-4.491541E-3
A7567,587727178449813567,0.82186955,-10.76692033,1729,40,2,88,GALAXY,27.611464,23.952034,19.591602,0.385152,0.513617,-0.184212,-0.03029,-1.643947,6.721569,2.683982,15.418296,2.490838,-0.031605
A7569,587727179523555380,0.82301367,-9.96240675,1729,40,4,88,GALAXY,22.721914,21.740448,21.917797,0.05,0.05,-1.680616E-4,-2.40785E-4,-5.42674E-4,5.545006,1.675805,13.810895,1.903242,-0.011458
A7570,587727227301069307,0.82200496,-9.26024657,1740,40,5,27,GALAXY,22.327539,21.879274,21.739561,0.05,0.05,-1.972981,-1.820902,-1.872711,2.855305,1.233761,1.95093,1.959612,-0.075399
A7574,587727226227327494,0.8238609,-10.10440287,1740,40,3,27,GALAXY,21.150274,20.484213,20.268171,0.549965,0.629504,-0.366673,-0.533384,-6.444004,2.097405,1.311745,13.442998,2.37048,-0.046009
A7575,587727227837940336,0.82267106,-8.71667421,1740,40,6,27,GALAXY,22.235952,20.710028,20.134645,0.999814,0.05,-1.001543,-1.162592,-1.20865,2.564564,1.258268,4.652642,2.309366,-0.067618
