Name,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A52,587730773351923955,00:00:14.45,+14:12:41.8,44,0.5,0.159,0.068,0.22699999999999998,0.045,0.0,0.455,0.25,0.693,1,0,0,587730773351859041,0.00550653,14.21220376,2566,40,2,308,GALAXY,22.987892000000002,22.13026,22.019884,0.050969,0.146015,-1.247522,-1.2533940000000001,-0.8830690000000001,-9999.0,-9999.0,2.9229439999999998,1.2992780000000002,0.007829878
A53,587727220876705819,00:00:14.60,+13:55:32.3,32,0.812,0.0,0.0,0.094,0.094,0.0,0.094,0.716,0.18,0,1,0,587727220876641358,0.00704211,13.92121731,1739,40,1,302,GALAXY,22.514329999999998,21.912029,21.125912,0.76294,0.95555,-0.036136,-0.108698,-0.371872,3.215559,1.510697,12.966132,1.0420909999999999,0.009539898
A55,587727223024189761,00:00:14.92,+15:43:42.6,34,0.265,0.324,0.0,0.382,0.028999999999999998,0.0,0.706,0.04,0.922,1,0,0,587727223024190294,0.00786404,15.734126199999999,1739,40,5,303,GALAXY,22.866854,22.137583,22.663107,0.16806500000000002,0.349972,-0.00335875,-0.0030395920000000002,-0.002035768,0.8403309999999999,0.587548,-33.651649,-0.49429300000000004,0.004401779000000001
A56,587727179523227787,00:00:15.44,-09:53:16.5,23,0.7390000000000001,0.0,0.0,0.087,0.087,0.087,0.087,0.696,0.125,0,0,1,587727179523228037,0.00268153,-9.8887744,1729,40,4,83,GALAXY,22.227184,21.574242,21.397051,0.683634,0.750355,-0.473975,-0.9097540000000001,-2.810965,1.759971,1.320625,19.562355,0.800696,-0.069548
A58,587730773888794804,00:00:16.27,+14:43:59.3,42,0.024,0.0,0.11900000000000001,0.381,0.0,0.47600000000000003,0.5,0.007,0.51,0,0,1,587730773888729965,0.00351677,14.7323564,2566,40,3,308,GALAXY,22.442861999999998,21.261108,19.897783,0.09992999999999999,0.072974,-0.14133099999999998,-0.5421520000000001,-8.613503,1.15561,0.585284,2.933977,2.031678,-0.037241
A59,587727223024189652,00:00:16.76,+15:41:40.2,20,0.7,0.0,0.1,0.2,0.0,0.0,0.3,0.47600000000000003,0.524,1,0,0,587727223024189608,0.00580351,15.69566964,1739,40,5,303,GALAXY,23.829864999999998,22.391904999999998,22.570595,0.05,0.05,-0.007144893,-0.011502,-0.081432,4.459329,1.543992,5.423241,1.7400209999999998,-0.038857
A62,587730773888794808,00:00:18.17,+14:31:40.7,25,0.72,0.04,0.0,0.04,0.12,0.08,0.08,0.688,0.109,0,0,1,587730773888729525,0.00513919,14.52689263,2566,40,3,308,GALAXY,20.228315,19.077763,18.526567,0.430016,0.47239799999999993,-7.204534,-1.812925,-319.25235,3.175869,1.1969940000000001,7.579,2.3476529999999998,0.021662
A63,587727223024189655,00:00:18.63,+15:43:27.7,34,0.706,0.0,0.20600000000000002,0.059000000000000004,0.0,0.028999999999999998,0.265,0.41100000000000003,0.546,0,0,1,587727223024124758,0.00188944,15.71789621,1739,40,5,302,GALAXY,22.82859,22.635448,22.261162,0.05,0.51103,-0.006918713000000001,-0.006916099,-0.001758161,1.114686,0.396057,0.47454799999999997,1.868206,0.0034641579999999997
A64,587727225153323053,00:00:19.03,-10:52:59.0,59,0.5589999999999999,0.0,0.068,0.22,0.153,0.0,0.28800000000000003,0.41200000000000003,0.41700000000000004,0,0,1,587727225153257517,0.006775499999999999,-10.88483095,1740,40,1,22,GALAXY,22.996769,21.87167,23.107495999999998,0.05,0.05,-0.00726061,-0.007730863,-0.0027817259999999996,1.299169,1.173557,1.530835,0.0,0.004363728
A65,587727226763935842,00:00:19.29,-09:37:55.2,26,0.34600000000000003,0.038,0.038,0.5770000000000001,0.0,0.0,0.654,0.083,0.917,1,0,0,587727226763871172,0.00231357,-9.63725412,1740,40,4,22,GALAXY,21.877160999999997,23.723326,23.118143,0.05,0.05,-0.003789955,-0.004969259,-0.002110139,1.4116030000000002,1.286174,-13.535213,0.334561,0.058046
A66,587727226763935847,00:00:19.70,-09:41:42.5,62,0.5,0.048,0.0,0.242,0.161,0.048,0.29,0.27699999999999997,0.45899999999999996,0,0,1,587727226763870667,359.99974287,-9.69163183,1740,40,4,22,GALAXY,22.616228,21.719664,21.607767000000003,0.314604,0.5342140000000001,-0.160166,-0.164581,-0.112874,1.98081,0.634921,3.953193,1.528528,0.008614731
